LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID9008,9008,0,10.482938766479492,34.5637693119885,24.580495195846765,0.0,0.0,0,0.5,1,,156.18032786885246,136.0,111.0,368.0,9527.0,57.601651653611846,0.1127346329323932,0.549398082368654
ID9011,9011,0,4.3597259521484375,34.42979197035343,25.757804467876205,0.0,1.0,1,0.5,1,,136.0655737704918,131.0,109.0,221.0,8300.0,22.192993528333076,0.04614293873210308,0.5408496945293955
ID9009,9009,1,15.734553337097168,33.88751596294662,14.220317855756829,0.0,1.0,1,0.5,1,,175.8360655737705,133.0,98.0,562.0,10726.0,104.40612694790616,0.16191638010252915,0.46938356542693166
ID9004,9004,1,20.382070541381836,34.38582108815162,16.33062526277643,0.0,0.0,0,0.5,1,,197.7704918032787,161.0,112.0,660.0,12064.0,108.62863241991388,0.22474437433178837,0.6681755094062358
ID8961,8961,2,6.238696098327637,37.08022742157061,22.297854784247978,0.0,9.0,9,0.5,1,,140.0,131.0,96.0,223.0,8540.0,26.653955303731813,0.06777604437510831,0.6667951180303402
ID9089,9089,2,5.28831672668457,36.35324888821807,28.819842587893113,0.0,3.0,3,0.5,1,,134.39344262295083,129.0,107.0,179.0,8198.0,18.65143308928708,0.054389348888006304,0.7433763113894699
ID9028,9028,2,5.57155704498291,37.9355667729955,21.044786887967287,0.0,13.0,13,0.5,1,,133.9344262295082,128.0,105.0,206.0,8170.0,21.99838543504122,0.058806810023437905,0.6763045447867951
ID9093,9093,2,8.983122825622559,39.30684468611311,21.21465529480413,0.0,17.0,17,0.5,1,,141.47540983606558,131.0,97.0,243.0,8630.0,33.6499661007145,0.09493213263350185,0.729041685939852
ID9062,9062,2,6.464605808258057,36.10450760103513,27.217273353648636,0.0,4.0,4,0.5,1,,142.31147540983608,136.0,115.0,211.0,8681.0,23.342051454836152,0.06750696512633303,0.7710965527028233
ID9127,9127,2,7.794604778289795,40.121156001474574,21.47635829338061,0.0,18.0,18,0.5,1,,139.44262295081967,128.0,103.0,227.0,8506.0,32.27255004394288,0.08281292267543879,0.6609018053466919
ID8971,8971,2,5.443256855010986,37.01075689369161,22.640462262839513,0.0,8.0,8,0.5,1,,136.63934426229508,131.0,102.0,231.0,8335.0,25.774685763933345,0.05822869183641226,0.5834046503125094
ID9067,9067,2,7.490700721740723,38.478667685037436,20.909366044053225,0.0,15.0,15,0.5,1,,139.40983606557376,125.0,105.0,229.0,8504.0,32.36581377996457,0.07371773143211119,0.5914509284755967
ID8979,8979,2,7.46557092666626,36.70112202035111,25.0574051489091,0.0,6.0,6,0.5,1,,143.95081967213116,138.0,108.0,212.0,8781.0,26.77276366602708,0.07191130938509176,0.7214218254306083
ID9142,9142,2,7.912322998046875,38.755872396323504,20.97929875951687,0.0,16.0,16,0.5,1,,141.7704918032787,128.0,109.0,288.0,8648.0,35.585293517885994,0.08902849129233988,0.6513809616525718
ID8951,8951,2,6.216386318206787,37.08547421258155,22.345860503223715,0.0,10.0,10,0.5,1,,141.9016393442623,135.0,106.0,238.0,8656.0,26.714980141007523,0.07743124768161715,0.763465195123715
ID9015,9015,2,6.276708126068115,38.28672147314396,21.012033759944632,0.0,14.0,14,0.5,1,,137.08196721311475,130.0,94.0,212.0,8362.0,26.86279650493548,0.0707526201103702,0.6743921139735846
ID9048,9048,2,5.57031774520874,37.302484495732465,22.002110458833265,0.0,11.0,11,0.5,1,,136.36065573770492,131.0,99.0,198.0,8318.0,22.654677800169843,0.060575084779038404,0.6875650568068212
ID9081,9081,2,4.721006393432617,36.9803499268774,23.866329191934668,0.0,7.0,7,0.5,1,,136.01639344262296,129.0,105.0,231.0,8297.0,25.21077269956813,0.041276424152685454,0.4277313918804692
ID8987,8987,2,7.186399459838867,36.3421986182659,26.27457224748231,0.0,5.0,5,0.5,1,,152.34426229508196,148.0,107.0,249.0,9293.0,30.531887836545383,0.08873467730393768,0.8133430461838127
ID8991,8991,2,5.147905349731445,37.441041613604625,21.450880855756903,0.0,12.0,12,0.5,1,,134.24590163934425,129.0,98.0,218.0,8189.0,23.05620360315557,0.05431199358311531,0.5998875248559365
ID9216,9216,3,30.84012794494629,37.87548824360996,24.693492862914997,0.0,24.0,24,0.5,1,,218.18032786885246,189.0,98.0,454.0,13309.0,98.41045137530217,0.2651731752720257,0.9293599986750465
ID8993,8993,3,8.169464111328125,34.92685433212306,25.92372584678198,0.0,12.0,12,0.5,1,,162.13114754098362,162.0,108.0,227.0,9890.0,30.359773500382627,0.09775475022175643,0.9511093922501723
ID8962,8962,3,7.6629638671875,34.467255939172404,26.231598348481224,0.0,9.0,9,0.5,1,,154.39344262295083,148.0,110.0,250.0,9418.0,32.3770899909821,0.09728278912215355,0.8455484163657218
ID9315,9315,3,18.773704528808594,36.79314930585085,24.907624985334863,0.0,20.0,20,0.5,1,,219.9672131147541,212.0,118.0,427.0,13418.0,65.00870895839387,0.2556462577076594,1.3778074857532097
ID9285,9285,3,6.9573974609375,40.35450900267463,26.001200354661783,0.0,27.0,27,0.5,1,,139.0655737704918,135.0,105.0,186.0,8483.0,20.676773484966986,0.08321522384453726,1.0333677132780308
