LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID3689 ? ID3770,0,3689,3770,0.020224864491134982,0.026852935946218147,0.12215771362343672,0.12215771362343672,14.5,39.226278024807556,25.704251849400112,0.0,
ID3953 ? ID4016,0,3953,4016,1.1730245327309021,1.8507856959721452,0.7287969054204292,0.7287969054204292,22.5,37.56920747298623,28.489743173607266,0.0,
ID3856 ? ID3844,0,3856,3844,0.021124333328088128,2.3122998845264453,0.11480098764107506,0.11480098764107506,8.5,38.755367641479864,25.920932316475152,0.0,
ID3782 ? ID3676,0,3782,3676,0.019263982687958744,2.2394654801353746,0.11440080630559347,0.11440080630559347,6.5,38.532975859201215,25.880247012304224,0.0,
ID3919 ? ID3908,0,3919,3908,0.5664146169385041,0.7040153890286326,0.6120252806714742,0.6120252806714742,19.5,39.09362339018352,26.894221340425485,0.0,
ID3832 ? ID3805,0,3832,3805,0.019097630032962495,3.124950423080634,0.08716338394950247,0.08716338394950247,10.5,38.68952407308487,26.014035132317595,0.0,
ID3817 ? ID3703,0,3817,3703,0.001330900047008532,2.2637636768961897,0.029198806658479296,0.029198806658479296,1.5,38.37396554151407,25.632458349593655,0.0,
ID3795 ? ID3689,0,3795,3689,0.11664302234651554,1.370450360672224,0.3084981696054137,0.3084981696054137,13.5,39.03231767769002,25.61077076553864,0.0,
ID3844 ? ID3832,0,3844,3832,0.09254266914300995,2.5424567968363094,0.20053256404742045,0.20053256404742045,9.5,38.707442633022126,25.96024593079636,0.0,
ID3805 ? ID3717,0,3805,3717,0.1509980882125504,0.07572742696846291,0.294387545590036,0.294387545590036,11.5,38.74451742161652,25.831458464361646,0.0,
ID3869 ? ID3738,0,3869,3738,0.11105346991273941,0.20624986463214837,0.237462145897714,0.237462145897714,4.5,38.41699559036292,25.77096894269318,0.0,
ID3753 ? ID3817,0,3753,3817,0.2165201320679844,NaN,0.3143616259857127,0.3143616259857127,0.5,38.2640561274755,25.532924443781845,0.0,
ID4016 ? ID4030,0,4016,4030,5.6902199369782736,1.9281958939611874,1.4789998016125911,1.4789998016125911,23.5,37.87055414694191,27.857056609727504,0.0,
