LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID37180 ? ID37123,0,37180,37123,0.04941482923097804,0.0,0.129999999999999,0.129999999999999,4.5,27.82,22.035000000000004,0.0,
ID37161 ? ID37104,0,37161,37104,0.24183718607791818,1.6497030909073709,0.31043948129964954,0.31043948129964954,1.5,29.339657920405124,20.56951916021596,0.0,
ID37152 ? ID37161,0,37152,37161,0.14395883333171605,NaN,0.2757911074920894,0.2757911074920894,0.5,29.144631981408725,20.528301682639025,0.0,
ID37169 ? ID37180,0,37169,37180,7.492369913633042E-308,0.0,0.0,0.0,3.5,27.82,22.1,0.0,
ID37123 ? ID37095,0,37123,37095,0.03857684484027176,3.141592653589793,0.129999999999999,0.129999999999999,5.5,27.82,22.035000000000004,0.0,
ID37104 ? ID37169,0,37104,37169,9.11598561748956,2.9210863078306466,2.3079815324166644,2.3079815324166644,2.5,28.645883575717637,21.294015503961806,0.0,
ID37115 ? ID37198,1,37115,37198,0.13798606710513936,0.3200368625738894,0.2805951745611562,0.2805951745611562,8.5,29.828235478889802,21.936667485463197,0.0,
ID37154 ? ID37162,1,37154,37162,0.16354777710979462,NaN,0.23510768569382304,0.23510768569382304,0.5,30.85065163151033,21.559443166547357,0.0,
ID37145 ? ID37115,1,37145,37115,0.20563823941964088,0.7074734423520335,0.35987220567450734,0.35987220567450734,7.5,30.12789865066423,22.03760286596183,0.0,
ID37139 ? ID37131,1,37139,37131,0.4631506638892549,0.92193530662973,0.3910076409828346,0.3910076409828346,10.5,29.011307733137897,22.15417347414159,0.0,
ID37162 ? ID37105,1,37162,37105,0.1048498475633064,2.4183584204554656,0.17075501307732885,0.17075501307732885,1.5,30.867564411539902,21.63543093964227,0.0,
ID37198 ? ID37139,1,37198,37139,1.025862301946721,0.7006518314134987,0.5833502194001514,0.5833502194001514,9.5,29.441628968656804,22.070291970339753,0.0,
ID37168 ? ID37179,1,37168,37179,0.018117234284931158,2.476688563628302,0.08459988656739183,0.08459988656739183,3.5,30.759546407956243,21.551685227942713,0.0,
