LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID21088 ? ID21135,0,21088,21135,0.80561778086942,NaN,0.8118539505618845,0.8118539505618845,0.5,28.002678289540555,10.211992382287669,0.0,
ID21135 ? ID21112,0,21135,21112,2.562178300555346,2.653499087797978,0.6492799260454923,0.6492799260454923,1.5,27.838223752507645,10.313671363207655,0.0,
ID21279 ? ID21158,1,21279,21158,0.01147370788471701,0.11001354104165696,0.10018934334108603,0.10018934334108603,14.5,26.91753277600863,10.893882767649258,0.0,
ID21228 ? ID21242,1,21228,21242,0.06180998083015265,1.0135404943816775,0.17701112276676517,0.17701112276676517,7.5,28.12701022277119,11.329681580137738,0.0,
ID21389 ? ID21384,1,21389,21384,0.2749843525585301,1.4616641759484414,0.42966174238921095,0.42966174238921095,27.5,26.213552841191486,11.853398445189324,0.0,
ID21198 ? ID21147,1,21198,21147,0.5572636939978897,2.016124920731488,0.45779871066269534,0.45779871066269534,10.5,27.545915892362544,11.036670453041353,0.0,
ID21321 ? ID21346,1,21321,21346,0.012996301990604654,0.8209217924422411,0.10000386665695446,0.10000386665695446,19.5,26.632012552084596,11.09777702662865,0.0,
ID21255 ? ID21279,1,21255,21279,0.36513393309748493,0.41823519276882676,0.40253671093259413,0.40253671093259413,13.5,27.0608568154491,11.10008578946054,0.0,
ID21337 ? ID21362,1,21337,21362,0.41852216668953895,3.1267122954989635,0.5909343179980421,0.5909343179980421,21.5,26.504563841736058,11.08656018666085,0.0,
ID21409 ? ID21414,1,21409,21414,0.025673014040592888,0.6373586785607294,0.129999999999999,0.129999999999999,31.5,26.0,12.285,0.0,
ID21099 ? ID21124,1,21099,21124,0.0074906614122004014,2.1538498148529452,0.07018242933112406,0.07018242933112406,4.5,28.491558945351237,11.128339007429501,0.0,
ID21291 ? ID21301,1,21291,21301,0.12336682469867845,2.7264226927755275,0.2448940588693792,0.2448940588693792,16.5,26.58495457772362,11.144744048349445,0.0,
ID21330 ? ID21369,1,21330,21369,0.19315794114877413,3.0782267928469604,0.33935461306872233,0.33935461306872233,23.5,26.16933474725086,11.16922355688353,0.0,
