LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID36372 → ID36440,0,36372,36440,0.4076924900910579,1.1424740842710681,0.41470368527095025,0.41470368527095025,7.5,27.524239727013697,22.20609344387261,0.0,
ID36440 → ID36487,0,36440,36487,0.01575287365982284,0.06803815866628066,0.11343151386755967,0.11343151386755967,8.5,27.425566018145044,22.450921500866365,0.0,
ID36415 → ID36577,0,36415,36577,0.15390356234765942,1.6250821959146051,0.31767411232882053,0.31767411232882053,15.5,27.708488768268772,22.101992892015318,0.0,
ID36428 → ID36415,0,36428,36415,0.04960458644145484,1.8830914586745504,0.14993262308526825,0.14993262308526825,14.5,27.596504227868415,21.97154579281759,0.0,
ID36315 → ID36357,0,36315,36357,0.3537917591200925,0.4120714839046136,0.46895686201106823,0.46895686201106823,5.5,27.144467857120368,21.71558458289443,0.0,
ID36339 → ID36315,0,36339,36315,0.7082734838559465,0.5003092259329619,0.6148388950971655,0.6148388950971655,4.5,26.6654215715067,21.487329800246798,0.0,
ID36450 → ID36463,0,36450,36463,0.015731866627658006,0.09168359834134981,0.09774103474091514,0.09774103474091514,10.5,27.469457916355708,22.40905480249196,0.0,
ID36404 → ID36394,0,36404,36394,4.6987957507490155,NaN,1.0781819934157453,1.0781819934157453,1.5,25.95728103053112,21.862328738465713,0.0,
ID36487 → ID36450,0,36487,36450,0.010104460755907364,2.8544752227674843,0.06526921625423081,0.06526921625423081,9.5,27.42608132584161,22.477961696016468,0.0,
ID36357 → ID36372,0,36357,36372,0.1985384795625355,0.6155556476362432,0.3404920352994531,0.3404920352994531,6.5,27.48916137145399,21.8897517640023,0.0,
ID36394 → ID36383,0,36394,36383,0.943663050723809,2.005912706615344,0.6334206330207738,0.6334206330207738,2.5,25.915666599682318,21.36709430403912,0.0,
