LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID44437 → ID44456,0,44437,44456,2.783779523279349E-308,0.0,0.0,0.0,16.5,22.880000000000003,6.63,0.0,
ID44099 → ID44313,0,44099,44313,0.06290710055646333,0.4521284142773152,0.15329456979847716,0.15329456979847716,7.5,24.162023047293467,6.348733392225174,0.0,
ID44100 → ID44219,0,44100,44219,0.014756957185281031,0.9449925566981666,0.0838872502719973,0.0838872502719973,4.5,24.257358864692474,6.083019377362893,0.0,
ID44313 → ID44384,0,44313,44384,0.03422958027421265,1.950484597682922,0.1313125847757103,0.1313125847757103,8.5,24.154143611331477,6.428690633319183,0.0,
ID44263 → ID44332,0,44263,44332,0.31847455485698867,1.5604149736163406,0.2894982752635083,0.2894982752635083,11.5,24.406082067185352,6.386252599537208,0.0,
ID44347 → ID44437,0,44347,44437,0.8782697022996467,0.7461981684457958,0.5995723733010747,0.5995723733010747,15.5,23.067610918833775,6.396175491359827,0.0,
ID44384 → ID44365,0,44384,44365,0.002265327509064189,0.2948676703999335,0.029808816003079826,0.029808816003079826,9.5,24.218603978210467,6.476129211854815,0.0,
ID44456 → ID44402,0,44456,44402,0.5879624134354585,0.0,0.3899999999999997,0.3899999999999997,17.5,22.880000000000003,6.4350000000000005,0.0,
ID44219 → ID44178,0,44219,44178,0.0043748948356343706,0.0033848534678279246,0.054759578054436146,0.054759578054436146,5.5,24.287813806461518,6.145294726543191,0.0,
ID44365 → ID44263,0,44365,44263,0.037406765130410066,0.6076796588863752,0.14331795961488053,0.14331795961488053,10.5,24.29726660832503,6.506510144068789,0.0,
ID44332 → ID44296,0,44332,44296,0.061939817835503015,0.5368227571098878,0.13110283656242167,0.13110283656242167,12.5,24.49347599775366,6.202080732581016,0.0,
ID44097 → ID44096,0,44097,44096,1.2517167442459314,NaN,0.5111161381164148,0.5111161381164148,0.5,23.1298382815715,6.0562342142049435,0.0,
