LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID59151 → ID59104,0,59151,59104,8.647352514966208,0.04280720357615347,1.563528764829257,1.563528764829257,8.5,25.72517414892745,17.608163497117886,0.0,
ID59093 → ID59151,0,59093,59151,4.509994572865468,0.8735275267732774,1.3514391534883248,1.3514391534883248,7.5,25.841187798413984,19.06068973457387,0.0,
ID59043 → ID59039,0,59043,59039,0.0819570852773222,NaN,0.22646098957249758,0.22646098957249758,0.5,24.43063295538667,21.57045680806882,0.0,
ID59078 → ID59065,0,59078,59065,0.6908402843330665,0.8765071959270984,0.5758342896291518,0.5758342896291518,2.5,24.86340303221947,21.81038904592627,0.0,
ID59039 → ID59078,0,59039,59078,0.030284578153864563,0.3395943966350092,0.13066037449374707,0.13066037449374707,1.5,24.54805794792979,21.701797428445495,0.0,
ID59072 → ID59048,0,59072,59048,0.4800323237663692,1.002263417008698,0.540730669846114,0.540730669846114,4.5,24.95242957182866,20.996192187565,0.0,
ID59065 → ID59072,0,59065,59072,0.7311442872580032,1.7123138642137432,0.7120952810420987,0.7120952810420987,3.5,25.160527468467595,21.50630769176835,0.0,
ID59058 → ID59093,0,59058,59093,2.3134283170559016,0.032158314721444856,0.9734761305590914,0.9734761305590914,6.5,25.52469956034127,20.06852642507574,0.0,
ID59048 → ID59058,0,59048,59058,1.101554363707775,1.747881694775512,0.6219491465714843,0.6219491465714843,5.5,24.95016851563371,20.6217921953695,0.0,
ID59049 → ID59059,1,59049,59059,1.6352255983517745,1.8182166371366486,0.8405286234527819,0.8405286234527819,5.5,23.70154126621771,22.067262990930974,0.0,
ID59066 → ID59073,1,59066,59073,1.7194579498136398,2.024157737854209,0.8288131274761206,0.8288131274761206,3.5,24.089924676113824,23.205254343482395,0.0,
