LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/sec),(micron/sec),(micron),(sec),(micron),(micron),(micron),
ID98680 → ID98645,0,98680,98645,0.005001873664745745,1.9034134995407614,0.05434594702640902,0.05434594702640902,6.5,24.8121266923243,12.405137069742608,0.0,
ID98645 → ID98741,0,98645,98741,0.3005399400546857,2.183405787849316,0.4455077462359216,0.4455077462359216,7.5,24.696837293194278,12.231628734361863,0.0,
ID98672 → ID98680,0,98672,98680,0.22701840547731267,NaN,0.31555441702604703,0.31555441702604703,5.5,24.848425979881384,12.551815750286458,0.0,
ID98682 → ID98651,1,98682,98651,0.5037812261476121,0.8187494511757325,0.532807192183876,0.532807192183876,6.5,26.490631091328858,18.44179318734418,0.0,
ID98640 → ID98635,1,98640,98635,0.022924521032651503,0.5797642008473852,0.10467338650098457,0.10467338650098457,3.5,27.499647218487105,18.9078751736571,0.0,
ID98675 → ID98682,1,98675,98682,0.3565281331628391,0.06179945459877631,0.42899064746048127,0.42899064746048127,5.5,26.814422400341154,18.742143239979054,0.0,
ID98635 → ID98675,1,98635,98675,0.35819514982051665,0.1537275628098404,0.43915758125660986,0.43915758125660986,4.5,27.233659944772754,18.853858939697645,0.0,
ID98714 → ID98723,1,98714,98723,0.07512181944327406,0.2445307627068481,0.20968877452010373,0.20968877452010373,9.5,25.690491500109637,17.72354865555106,0.0,
ID98751 → ID98781,1,98751,98781,0.16280450520775733,2.210407703964041,0.32128059841472933,0.32128059841472933,18.5,23.396506747653195,16.869206914505234,0.0,
ID98651 → ID98745,1,98651,98745,0.24732275811531754,0.5620451286076081,0.41467595153483366,0.41467595153483366,7.5,26.195339880033437,18.09503669310056,0.0,
ID98745 → ID98714,1,98745,98714,0.17528174510240394,0.18872430100435889,0.31811083277501123,0.31811083277501123,8.5,25.900638084604314,17.88003931939832,0.0,
