LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(micron/frame),(micron),(frame),(micron),(micron),(micron),
ID5232 → ID5167,0,5232,5167,0.06889629037619276,NaN,0.21874801393267224,0.21874801393267224,0.5,34.39068669849463,21.81001804557256,0.0,
ID5273 → ID5296,0,5273,5296,0.013277619987757509,1.990828324051115,0.09313575805252117,0.09313575805252117,13.5,30.100342958401193,18.823298112207304,0.0,
ID5391 → ID5374,0,5391,5374,0.1792103439624846,0.21968489758206172,0.3527815809191869,0.3527815809191869,16.5,29.046297515999314,18.936164640896614,0.0,
ID5343 → ID5253,0,5343,5253,0.5720219087130287,0.29441422617115137,0.5170509450133481,0.5170509450133481,11.5,30.46937411797561,19.156727628302683,0.0,
ID5145 → ID5060,0,5145,5060,4.523275035691965,1.2630849730307567,1.6582328123494285,1.6582328123494285,6.5,32.954961269287395,20.56553936882183,0.0,
ID5211 → ID5186,0,5211,5186,2.3567912782131195,0.028366857664527585,0.7549085783099109,0.7549085783099109,8.5,31.456665886186883,19.944804630786642,0.0,
ID5356 → ID5343,0,5356,5343,0.5674409750241934,0.17328584055730462,0.3724062196225723,0.3724062196225723,10.5,30.70891497610645,19.525863283269477,0.0,
ID5374 → ID5422,0,5374,5422,0.05856154792799074,2.1888000060959305,0.17662830584940825,0.17662830584940825,17.5,28.903436764282183,18.9574263403752,0.0,
ID5106 → ID5145,0,5106,5145,2.2211091835509538,2.4567188255970174,1.1546324214879604,1.1546324214879604,5.5,34.09778215847677,20.633666423619225,0.0,
ID5123 → ID5106,0,5123,5106,0.2517643005716842,0.29854901850083543,0.2814751827712844,0.2814751827712844,4.5,34.51280274615213,20.399139711280085,0.0,
ID5253 → ID5273,0,5253,5273,0.11791071233544508,0.8978836500521271,0.2908565849111011,0.2908565849111011,12.5,30.21442758995261,18.89243070213737,0.0,
