LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(micron/frame),(micron),(frame),(micron),(micron),(micron),
ID17847 → ID17843,0,17847,17843,0.6215449234416954,0.814228619914509,0.6215413842452033,0.6215413842452033,10.5,25.770647014254312,20.531221075448887,0.0,
ID17825 → ID17833,0,17825,17833,0.08056188937513906,0.540005854925171,0.17652903900600408,0.17652903900600408,6.5,25.09576792100316,20.796897015683015,0.0,
ID17851 → ID17861,0,17851,17861,0.06564887437572366,1.7630139565580007,0.20291809268180638,0.20291809268180638,8.5,25.388554575984124,20.872928024071896,0.0,
ID17843 → ID17854,0,17843,17854,0.025723545776074934,1.1593714968400242,0.13217388580410108,0.13217388580410108,11.5,26.05655302275285,20.34246063139992,0.0,
ID17819 → ID17826,0,17819,17826,0.0341432403553346,NaN,0.13000001170000175,0.13000001170000175,0.5,24.180002176200198,20.605001854450165,0.0,
ID17854 → ID17837,0,17854,17837,0.5098108354061448,1.1746403582246419,0.5711018092409939,0.5711018092409939,12.5,26.320977747294084,20.16767447071095,0.0,
ID17863 → ID17867,0,17863,17867,1.7563840938943842,0.29189866993554275,1.0766522987674896,1.0766522987674896,15.5,26.516981960540445,17.78725343698188,0.0,
ID17858 → ID17863,0,17858,17863,3.232727836776339,1.0204583409867403,1.1053424100461868,1.1053424100461868,14.5,27.030029751129387,18.73693062361601,0.0,
ID17892 → ID17886,0,17892,17886,7.114995210605586,0.3768465194355851,2.102474364779293,2.102474364779293,20.5,25.654279504839756,11.348773546686708,0.0,
ID17829 → ID17823,0,17829,17823,0.27065870442476847,1.4444269190232701,0.39526654864189087,0.39526654864189087,4.5,24.376059524058725,20.824910253511174,0.0,
ID17878 → ID17875,0,17878,17875,1.2021795351071753,0.1397352449448028,0.8310419557214682,0.8310419557214682,17.5,26.03908989325633,16.500536323309632,0.0,
