LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID4384,4384,0,4.131425857543945,32.78574400223184,12.59316748001031,0.0,8.0,8,0.5,1,,140.49180327868854,136.0,104.0,226.0,8570.0,24.073929848710943,0.053840671855567845,0.5963064498625499
ID4097,4097,0,7.052849292755127,33.14546066309134,13.522310634850353,0.0,10.0,10,0.5,1,,147.672131147541,131.0,102.0,334.0,9008.0,48.741399689748825,0.07708811302642303,0.4336773332936475
ID4209,4209,0,3.3859879970550537,33.309676179921524,13.842331054093462,0.0,3.0,3,0.5,1,,129.13114754098362,125.0,99.0,207.0,7877.0,22.5886958527461,0.041139736018681754,0.45177513761187943
ID4034,4034,0,6.0503363609313965,32.23269815046013,12.951191941143417,0.0,5.0,5,0.5,1,,135.63934426229508,124.0,99.0,254.0,8274.0,34.843475136140505,0.053869334514411796,0.3979688287516713
ID3975,3975,0,5.161076068878174,33.160384504069356,13.15827598180465,0.0,4.0,4,0.5,1,,133.52459016393442,125.0,92.0,238.0,8145.0,31.30900113246298,0.03776364511657028,0.3103826896617371
ID4327,4327,0,5.509826183319092,33.76739485356453,15.265990403401972,0.0,0.0,0,0.5,1,,136.31147540983608,127.0,101.0,252.0,8315.0,29.18078190842194,0.06434709247144478,0.5648213953627381
ID4152,4152,0,9.803180694580078,32.87093897489591,13.158536947448775,0.0,9.0,9,0.5,1,,154.24590163934425,147.0,101.0,239.0,9409.0,32.13132206933753,0.09142952615617016,0.8042772872111692
ID4120,4120,0,3.53737735748291,32.69538360033972,12.15503003401355,0.0,6.0,6,0.5,1,,129.52459016393442,124.0,94.0,283.0,7901.0,28.973900069647193,0.013951368723078074,0.12301978272304284
ID4265,4265,0,3.5937390327453613,33.06465513899311,12.385541572388457,0.0,7.0,7,0.5,1,,133.7377049180328,129.0,85.0,202.0,8158.0,23.880886108171854,0.022631962804266603,0.24787702906155407
ID3945,3945,0,5.701977252960205,33.68466019872275,14.66124712469008,0.0,2.0,2,0.5,1,,134.0655737704918,125.0,97.0,246.0,8178.0,31.10727077520571,0.0544658797948399,0.445222751287512
ID4237,4237,0,6.073344707489014,33.85903073514254,14.708226874135338,0.0,1.0,1,0.5,1,,135.37704918032787,127.0,96.0,257.0,8258.0,34.33907586333012,0.062056215449931854,0.46070637024346167
ID4385,4385,1,14.448497772216797,34.25330388288722,12.959837146976463,0.0,8.0,8,0.5,1,,176.62295081967213,155.0,113.0,458.0,10774.0,74.45763089042121,0.1567042337632946,0.6427266727779167
ID4039,4039,1,13.101868629455566,33.766410400437486,15.511729250603501,0.0,5.0,5,0.5,1,,174.18032786885246,158.0,103.0,442.0,10625.0,66.7791155468837,0.16325688288833573,0.732123430225054
ID4268,4268,1,10.583949089050293,34.403756419556565,13.586183423580993,0.0,7.0,7,0.5,1,,163.24590163934425,145.0,109.0,400.0,9958.0,56.322185012569996,0.1220464866743983,0.6305321266560223
ID4172,4172,1,3.722365140914917,34.24054588632435,10.721416429601394,0.0,12.0,12,0.5,1,,126.36065573770492,122.0,98.0,168.0,7708.0,14.724166967817732,0.0479326317545816,0.7850711961725189
ID3980,3980,1,17.107404708862305,33.661660113473545,16.32838245338004,0.0,4.0,4,0.5,1,,191.8360655737705,168.0,112.0,488.0,11702.0,79.23428978413088,0.21978567375836122,0.8724949804884952
ID4332,4332,1,18.65559959411621,33.41363600416092,18.220832285210083,0.0,0.0,0,0.5,1,,194.39344262295083,160.0,115.0,523.0,11858.0,89.98968064700985,0.2162061913224283,0.7680328792714554
ID3950,3950,1,24.121931076049805,33.76887112050921,18.004946581669426,0.0,2.0,2,0.5,1,,197.29508196721312,159.0,104.0,474.0,12035.0,92.47167931539816,0.2213634818569435,0.7733900087655837
ID4242,4242,1,24.31113052368164,33.578428185334985,18.00750444791195,0.0,1.0,1,0.5,1,,204.4262295081967,167.0,117.0,640.0,12470.0,106.0967261537624,0.24123320233211942,0.7489422463623284
ID4151,4151,1,11.516108512878418,34.15196815180172,12.154799597756336,0.0,9.0,9,0.5,1,,167.55737704918033,141.0,100.0,443.0,10221.0,73.48481126286437,0.13977785402080045,0.5592604658048779
ID4215,4215,1,18.272693634033203,33.67482412134964,17.021393142130112,0.0,3.0,3,0.5,1,,188.1639344262295,164.0,107.0,454.0,11478.0,77.22222916748537,0.2124308298023022,0.8538559739831958
ID4125,4125,1,12.240487098693848,34.34985867950965,14.511859121099869,0.0,6.0,6,0.5,1,,162.63934426229508,141.0,99.0,405.0,9921.0,65.5436324867858,0.1318173907209689,0.5779914998112283
ID4095,4095,1,14.934402465820312,34.43422398022349,11.939781000392315,0.0,10.0,10,0.5,1,,175.9344262295082,148.0,105.0,576.0,10732.0,91.27848758103941,0.1731526016615654,0.5689667697813187
ID4351,4351,1,13.812259674072266,34.466018302831344,11.195871168250934,0.0,11.0,11,0.5,1,,159.01639344262296,134.0,90.0,377.0,9700.0,62.627334767729735,0.13578793125529118,0.6071162919804879
ID4000,4000,2,7.707828044891357,28.753586933225996,10.108628782816576,0.0,14.0,14,0.5,1,,151.60655737704917,147.0,100.0,240.0,9248.0,33.48147681356792,0.09812906616578988,0.8092592179119639
