LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID17850,17850,0,3.304287910461426,27.69,16.51,0.0,1.0,1,0.5,1,,167.11475409836066,157.0,125.0,290.0,10194.0,43.023287632264044,0.10211295075351079,0.7197736047119415
ID17853,17853,0,5.022181987762451,27.69,17.29,0.0,0.0,0,0.5,1,,160.49180327868854,156.0,115.0,234.0,9790.0,29.110492352884076,0.09685662067784548,0.9736721613076088
ID17858,17858,1,5.376355171203613,28.43621418037573,19.2437286199896,0.0,16.0,16,0.5,1,,134.63934426229508,131.0,104.0,193.0,8213.0,20.98255846084651,0.05480738568325162,0.6668213037831492
ID17860,17860,1,6.701029300689697,29.467245862430712,14.866234635494848,0.0,19.0,19,0.5,1,,138.65573770491804,131.0,99.0,231.0,8458.0,26.221419517830352,0.07328099139887362,0.7220870244249007
ID17861,17861,1,7.879395484924316,29.865166827628464,13.631596021789075,0.0,20.0,20,0.5,1,,144.49180327868854,129.0,96.0,314.0,8814.0,46.2852110833182,0.09528176994524525,0.5431439106146028
ID17862,17862,1,6.166873455047607,28.64601904685078,18.343410340589873,0.0,17.0,17,0.5,1,,138.31147540983608,130.0,96.0,223.0,8437.0,26.79399247568166,0.06370616473952521,0.6183161110855097
ID17863,17863,1,6.55900764465332,28.816946342083085,16.1632845051249,0.0,18.0,18,0.5,1,,140.49180327868854,129.0,106.0,266.0,8570.0,30.935752213698027,0.07547551887101887,0.6374202854272238
ID17864,17864,1,5.233094215393066,30.66026757348374,13.68736485200489,0.0,21.0,21,0.5,1,,134.04918032786884,131.0,97.0,206.0,8177.0,23.608209186289557,0.0577850527017526,0.6203677340111533
ID17867,17867,1,5.822265625,31.164784500604675,10.580738786744766,0.0,24.0,24,0.5,1,,136.1639344262295,133.0,101.0,210.0,8306.0,23.167635707216544,0.06724253796585583,0.7406130183022096
ID17852,17852,1,4.83349084854126,28.38059487315436,19.328234808794186,0.0,15.0,15,0.5,1,,136.672131147541,133.0,107.0,179.0,8337.0,18.207801726618374,0.056512098523465726,0.8030071396554088
ID17868,17868,1,5.997683048248291,31.649734112269307,12.716038938092494,0.0,23.0,23,0.5,1,,138.49180327868854,128.0,106.0,247.0,8448.0,29.525482186759554,0.07174931044586665,0.6280317295085638
ID17855,17855,1,4.142953872680664,31.53928681960684,13.814918313278891,0.0,22.0,22,0.5,1,,132.40983606557376,129.0,103.0,204.0,8077.0,20.39311734317923,0.05179347719526566,0.6394568159593882
ID17872,17872,2,3.4210712909698486,28.611827682792264,14.717908239213651,0.0,26.0,26,0.5,1,,130.1639344262295,128.0,99.0,191.0,7940.0,17.14563144347937,0.03620457744024606,0.5304997158041025
ID17877,17877,2,3.954432249069214,29.03801638773926,13.665245444263848,0.0,27.0,27,0.5,1,,131.14754098360655,123.0,111.0,216.0,8000.0,22.605188243390625,0.037462490536286294,0.4189925126033607
ID17924,17924,3,5.675368309020996,31.390798640735948,24.8278841111943,0.0,35.0,35,0.5,1,,137.40983606557376,130.0,107.0,198.0,8382.0,20.962169933144107,0.06784683187097511,0.8329754259649375
ID18053,18053,3,6.715989589691162,33.344569721753864,24.312770214844097,0.0,52.0,52,0.5,1,,151.44262295081967,148.0,121.0,224.0,9238.0,21.87428062829643,0.07257215705094906,0.936888378763206
ID17993,17993,3,7.375822067260742,31.846209848745183,25.823715062122634,0.0,45.0,45,0.5,1,,148.37704918032787,141.0,105.0,212.0,9051.0,23.54298475443462,0.07760605497903104,0.907759469967821
ID17934,17934,3,4.700878620147705,31.958977245358106,25.189658570169062,0.0,39.0,39,0.5,1,,139.63934426229508,134.0,104.0,206.0,8518.0,21.82279602226782,0.06818404480027589,0.8168909357034132
ID17874,17874,3,4.055301666259766,28.87728247445332,29.541054101247873,0.0,26.0,26,0.5,1,,132.78688524590163,132.0,110.0,172.0,8100.0,16.241012647100508,0.036948943575531704,0.5826620430116722
ID17875,17875,3,3.5345678329467773,28.4906681269806,30.84272901508466,0.0,25.0,25,0.5,1,,131.0655737704918,131.0,106.0,174.0,7995.0,16.529638887423822,0.03047854579434732,0.46904072274625036
ID18068,18068,3,8.664143562316895,33.16726283690151,24.871632860116218,0.0,50.0,50,0.5,1,,150.65573770491804,143.0,118.0,225.0,9190.0,27.17896566949132,0.10160926053565741,1.0225591981404432
ID18005,18005,3,7.28098726272583,32.25708226763805,25.300309944804876,0.0,44.0,44,0.5,1,,148.27868852459017,141.0,104.0,235.0,9045.0,27.771766927067606,0.0876025186915457,0.860105269238873
ID17879,17879,3,4.143200397491455,29.09832577938624,28.624503870337474,0.0,27.0,27,0.5,1,,132.327868852459,133.0,100.0,190.0,8072.0,18.652722152968636,0.03706369486498446,0.5070868794952517
ID17944,17944,3,6.638672828674316,32.21851123913683,24.586060889417464,0.0,40.0,40,0.5,1,,145.98360655737704,141.0,104.0,210.0,8905.0,22.505919075714793,0.09102325545779635,1.0823200099240298
ID17881,17881,3,3.7502033710479736,28.93349192440021,27.59270849547665,0.0,30.0,30,0.5,1,,141.50819672131146,139.0,105.0,184.0,8632.0,18.41885171124019,0.047053346423521804,0.6905112323738003
ID17884,17884,3,5.078843116760254,29.580594992987184,26.781718204845724,0.0,31.0,31,0.5,1,,144.91803278688525,142.0,117.0,203.0,8840.0,19.626763260037908,0.07506018468614134,1.0310520556525007
