LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID25249,25249,0,10.305295944213867,31.11626782484527,27.329929903730832,0.0,1.0,1,0.5,1,,144.59016393442624,128.0,99.0,278.0,8820.0,44.751676709437504,0.11657856481618023,0.6746660434140072
ID25282,25282,0,6.224974155426025,29.311217430092977,26.73669364729874,0.0,15.0,15,0.5,1,,144.7704918032787,137.0,99.0,308.0,8831.0,40.41096940296572,0.09013909258413699,0.5924368235268379
ID25349,25349,0,8.647530555725098,31.111206945567655,27.18882271299562,0.0,8.0,8,0.5,1,,148.11475409836066,136.0,102.0,310.0,9035.0,44.76051025947453,0.10734836250798226,0.6415705866434983
ID25414,25414,0,8.699238777160645,30.99461440023274,27.05249129917732,0.0,9.0,9,0.5,1,,149.95081967213116,133.0,101.0,314.0,9147.0,45.90040894135483,0.10374748637517649,0.6141438973187383
ID25478,25478,0,7.42806339263916,29.43046999577575,27.148233082079535,0.0,17.0,17,0.5,1,,139.88524590163934,127.0,99.0,244.0,8533.0,33.55001160489404,0.08352741198641304,0.6428332823679701
ID25510,25510,0,5.874413967132568,29.457550657172334,27.223324944171345,0.0,18.0,18,0.5,1,,135.39344262295083,126.0,99.0,245.0,8259.0,27.332080472419577,0.06152509739212927,0.5742182342256884
ID25259,25259,0,10.391676902770996,30.529583754756104,27.3971834722796,0.0,4.0,4,0.5,1,,148.19672131147541,133.0,90.0,346.0,9040.0,49.43980166900994,0.11931483614163371,0.6390488537094364
ID25451,25451,0,5.644770622253418,29.601588792132265,26.896835769548275,0.0,16.0,16,0.5,1,,140.52459016393442,127.0,102.0,281.0,8572.0,35.332047094848164,0.06802058917433047,0.5066106165850887
ID25325,25325,0,7.890603065490723,31.006272797208563,27.2354223026865,0.0,3.0,3,0.5,1,,144.01639344262296,128.0,104.0,348.0,8785.0,48.54224682455434,0.10247264157838351,0.5515211390516546
ID25389,25389,0,9.102893829345703,30.45831729600369,27.012454941695456,0.0,5.0,5,0.5,1,,145.95081967213116,129.0,106.0,307.0,8903.0,44.240413737331544,0.10926084224871029,0.6499025123606756
ID25518,25518,0,4.223241806030273,28.970919231615444,25.756106671586444,0.0,21.0,21,0.5,1,,129.19672131147541,122.0,96.0,230.0,7881.0,24.374727124716113,0.036078656632969955,0.36914701153671153
ID25486,25486,0,4.852262496948242,28.77599069218074,25.52954781143884,0.0,22.0,22,0.5,1,,131.98360655737704,125.0,96.0,228.0,8051.0,27.32062212766435,0.05066056675088654,0.4658724343728312
ID25424,25424,0,7.286858558654785,30.493449791961492,26.924035990478394,0.0,10.0,10,0.5,1,,141.4262295081967,129.0,105.0,266.0,8627.0,36.81098523375572,0.07330462661652001,0.5247964660567488
ID25360,25360,0,5.564877033233643,29.945189957641382,26.9872384449859,0.0,11.0,11,0.5,1,,139.36065573770492,124.0,104.0,296.0,8501.0,37.37647780217091,0.0468970082279504,0.33405115922880574
ID25297,25297,0,10.78548526763916,29.910578118800665,27.21400340074992,0.0,13.0,13,0.5,1,,151.52459016393442,131.0,100.0,336.0,9243.0,53.704936631367836,0.11902920174736525,0.6002207517331667
ID25271,25271,0,8.659496307373047,30.821367442525005,27.685968595208628,0.0,7.0,7,0.5,1,,149.19672131147541,132.0,90.0,364.0,9101.0,47.42039634029895,0.09768538966256533,0.5599842663981107
ID25335,25335,0,7.323456764221191,30.168063828898436,26.742829399789272,0.0,12.0,12,0.5,1,,154.11475409836066,146.0,100.0,362.0,9401.0,44.415124436260726,0.11995072307791235,0.7432711669751932
ID25401,25401,0,8.839031219482422,30.87550931507732,27.41728976132615,0.0,6.0,6,0.5,1,,145.88524590163934,134.0,99.0,336.0,8899.0,44.235392451691794,0.10703051143361504,0.6377045161023345
ID25465,25465,0,6.376978397369385,29.240741542129367,26.89811042689848,0.0,19.0,19,0.5,1,,138.8360655737705,132.0,101.0,228.0,8469.0,28.690985999014188,0.06197875606451771,0.5648249159560252
ID25531,25531,0,6.478649616241455,28.93950436616245,26.9263357964522,0.0,20.0,20,0.5,1,,136.47540983606558,128.0,95.0,250.0,8325.0,32.02530590922177,0.0622845134621652,0.4997241547774359
ID25309,25309,0,11.308077812194824,30.89261127191084,27.59338217018717,0.0,0.0,0,0.5,1,,150.52459016393442,133.0,99.0,296.0,9182.0,43.128338153846926,0.1253618530777271,0.7775851153983485
ID25438,25438,0,9.04311752319336,31.004062975282192,27.37075738959129,0.0,2.0,2,0.5,1,,144.36065573770492,140.0,90.0,226.0,8806.0,30.133609578500682,0.11094059177060601,0.9568135729536584
ID25375,25375,0,6.376581192016602,29.54100463872716,27.119377687321315,0.0,14.0,14,0.5,1,,142.9672131147541,131.0,103.0,262.0,8721.0,34.075390539759894,0.08158981221342093,0.6329930633328791
ID25251,25251,1,9.512174606323242,27.17,27.69,0.0,1.0,1,0.5,1,,141.8360655737705,133.0,104.0,268.0,8652.0,31.93701109364539,0.0959528785863576,0.7776577933653976
ID25439,25439,1,5.682942867279053,27.17,27.69,0.0,2.0,2,0.5,1,,136.4262295081967,131.0,101.0,228.0,8322.0,25.39255731928383,0.07929192910448447,0.789426107735582
