LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID21088,21088,0,9.36868953704834,28.38360646939681,10.352243696192865,0.0,0.0,0,0.5,1,,145.19672131147541,130.0,103.0,336.0,8857.0,47.73811184372892,0.10316559139480563,0.5688735380465226
ID21112,21112,0,4.21010684967041,28.05469739533099,10.555601658032838,0.0,2.0,2,0.5,1,,134.86885245901638,127.0,99.0,261.0,8227.0,30.9415984341663,0.035802172395243116,0.3013224392204238
ID21135,21135,0,8.273086547851562,27.621750109684296,10.071741068382472,0.0,1.0,1,0.5,1,,141.18032786885246,126.0,104.0,346.0,8612.0,46.916062706611584,0.09846739754718381,0.5394956061278209
ID21186,21186,1,13.096590042114258,28.775722763565973,11.369593186456619,0.0,3.0,3,0.5,1,,161.0983606557377,134.0,107.0,433.0,9827.0,69.26680419894096,0.13437495490839352,0.5510077000853326
ID21124,21124,1,10.415327072143555,28.48460376744707,11.162734048453258,0.0,5.0,5,0.5,1,,157.75409836065575,129.0,105.0,460.0,9623.0,74.21537480821273,0.1095298880314559,0.41967239127591854
ID21255,21255,1,8.15696907043457,27.172081157506447,11.267829929882845,0.0,13.0,13,0.5,1,,142.1639344262295,126.0,101.0,351.0,8672.0,49.75814182217447,0.09750563306196598,0.5076661710076797
ID21384,21384,1,9.40357780456543,26.42710568238297,11.876796890378648,0.0,28.0,28,0.5,1,,151.0,120.0,93.0,440.0,9211.0,73.25594401366577,0.10622710622710622,0.3958723130315555
ID21321,21321,1,10.958813667297363,26.635646402026524,11.14764674159861,0.0,19.0,19,0.5,1,,149.31147540983608,124.0,97.0,466.0,9108.0,68.49465696524719,0.1342277154199364,0.5159509670758102
ID21389,21389,1,11.714919090270996,26.0,11.83,0.0,27.0,27,0.5,1,,151.11475409836066,122.0,99.0,457.0,9218.0,74.55157015128427,0.12506973746121317,0.45066399776204363
ID21198,21198,1,9.081623077392578,27.659509678932015,10.83794610495105,0.0,10.0,10,0.5,1,,145.21311475409837,124.0,100.0,338.0,8858.0,53.411645033050725,0.07354022690901885,0.37248305914572977
ID21136,21136,1,11.34064769744873,27.79568096578897,11.452008096086924,0.0,1.0,1,0.5,1,,151.44262295081967,124.0,99.0,415.0,9238.0,64.27247326556005,0.12059686576550965,0.5071538465160499
ID21330,21330,1,10.218929290771484,26.0,11.18,0.0,23.0,23,0.5,1,,148.81967213114754,131.0,96.0,392.0,9078.0,62.68054142414569,0.11984759629840677,0.5081922127106547
ID21267,21267,1,9.386350631713867,27.32659105731983,11.366226227500375,0.0,12.0,12,0.5,1,,149.47540983606558,129.0,93.0,377.0,9118.0,63.14760659422679,0.12469994904828222,0.52489502245918
ID21396,21396,1,5.393609523773193,26.196959986194138,11.576953957162377,0.0,29.0,29,0.5,1,,143.08196721311475,125.0,102.0,419.0,8728.0,59.2773973455783,0.06417898608681132,0.29114138524232036
ID21337,21337,1,10.076886177062988,26.784881042828406,10.993162602009512,0.0,21.0,21,0.5,1,,146.34426229508196,123.0,97.0,424.0,8927.0,65.81030447326155,0.1220570722571269,0.48379324076575314
ID21147,21147,1,10.885873794555664,27.432322105793077,11.235394801131658,0.0,11.0,11,0.5,1,,151.75409836065575,128.0,96.0,366.0,9257.0,66.05569764416111,0.11106435924617959,0.45929914777101455
ID21212,21212,1,10.252020835876465,27.992350498548237,11.318062861258413,0.0,9.0,9,0.5,1,,155.14754098360655,129.0,107.0,438.0,9464.0,70.46082506508463,0.11112860339116012,0.4404419702906428
ID21404,21404,1,9.481849670410156,26.240977213235727,11.894551417545486,0.0,30.0,30,0.5,1,,153.04918032786884,123.0,97.0,422.0,9336.0,72.86435484961267,0.1216443050374248,0.4555987309448136
ID21279,21279,1,13.317642211914062,26.949632473391755,10.932341649038234,0.0,14.0,14,0.5,1,,153.2622950819672,126.0,99.0,421.0,9349.0,69.35486083405745,0.1305143029890791,0.5102352546945044
ID21089,21089,1,11.316814422607422,28.481231876666502,11.788358652143259,0.0,0.0,0,0.5,1,,151.52459016393442,125.0,103.0,427.0,9243.0,67.17479848806818,0.12602205227577834,0.5049011888663018
ID21409,21409,1,15.607625007629395,26.0,12.22,0.0,31.0,31,0.5,1,,155.81967213114754,127.0,101.0,547.0,9505.0,80.3095071575633,0.14317148631495505,0.4859935116685508
ID21346,21346,1,10.04953384399414,26.62837870214267,11.04790731165869,0.0,20.0,20,0.5,1,,147.21311475409837,122.0,98.0,396.0,8980.0,67.02763478697881,0.12275357644695327,0.48025545856833074
ID21158,21158,1,10.758366584777832,26.885433078625507,10.855423886260281,0.0,15.0,15,0.5,1,,153.80327868852459,128.0,106.0,441.0,9382.0,70.41231418630578,0.12769390314736737,0.4946817638640822
ID21414,21414,1,11.700844764709473,26.0,12.35,0.0,32.0,32,0.5,1,,154.1639344262295,124.0,106.0,444.0,9404.0,73.61910538437444,0.14183847208846034,0.5202494361025247
ID21099,21099,1,10.84965991973877,28.498514123255408,11.093943966405744,0.0,4.0,4,0.5,1,,160.49180327868854,136.0,110.0,469.0,9790.0,72.68462078294594,0.12201810099426214,0.4802470678109589
ID21291,21291,1,8.28404712677002,26.552239297442433,11.262739749345299,0.0,16.0,16,0.5,1,,144.40983606557376,125.0,100.0,386.0,8809.0,59.03145405888297,0.1110359456515507,0.48896612797861005
