LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID94881,94881,0,5.301328659057617,26.89647393842408,18.25980711402042,0.0,4.0,4,0.475,1,,143.24590163934425,133.0,106.0,303.0,8738.0,42.158295244512644,0.062139941948696764,0.39757426284160297
ID94947,94947,0,5.408356666564941,25.678759298767105,17.024191601978135,0.0,11.0,11,0.475,1,,137.80327868852459,133.0,102.0,275.0,8406.0,32.16303244001885,0.06711341623974448,0.5389287142359223
ID94914,94914,0,6.939056396484375,26.828661296921553,18.214032740106415,0.0,5.0,5,0.475,1,,144.672131147541,129.0,104.0,269.0,8825.0,38.97508662016263,0.05501730965604841,0.38713955818129986
ID94889,94889,0,7.372710227966309,27.45739289882556,18.54326726403256,0.0,1.0,1,0.475,1,,140.36065573770492,127.0,105.0,310.0,8562.0,37.47978690213577,0.06748575776079839,0.47350907891787536
ID94953,94953,0,6.9546027183532715,26.420562179925152,17.290569880329464,0.0,9.0,9,0.475,1,,143.9016393442623,134.0,100.0,290.0,8778.0,36.36055780560065,0.08135076454012101,0.595470494705317
ID94922,94922,0,6.176450729370117,26.931139528082905,18.37078717385804,0.0,6.0,6,0.475,1,,142.62295081967213,130.0,110.0,275.0,8700.0,34.47132331587432,0.06545783652867083,0.5083781034630929
ID94959,94959,0,4.704508304595947,25.344291658261547,17.063827607817082,0.0,13.0,13,0.475,1,,130.91803278688525,128.0,92.0,233.0,7986.0,25.295780334519048,0.0517686921436026,0.5094814070232656
ID94896,94896,0,9.073484420776367,27.76097723575377,18.068393076729887,0.0,0.0,0,0.475,1,,152.2622950819672,138.0,103.0,316.0,9288.0,42.96079671799405,0.07629998178390437,0.5025058729574877
ID94928,94928,0,7.949371337890625,25.979917299898112,17.00443685650751,0.0,10.0,10,0.475,1,,138.68852459016392,124.0,101.0,313.0,8460.0,39.700353056199454,0.05719665664113416,0.3779993187240018
ID94866,94866,0,7.201822280883789,27.155431757564468,18.28401645199977,0.0,3.0,3,0.475,1,,140.7704918032787,132.0,102.0,289.0,8587.0,36.22310194826084,0.06819939186696282,0.4962313079508968
ID94934,94934,0,4.995006084442139,25.334531493032582,16.985901394906147,0.0,14.0,14,0.475,1,,133.91803278688525,131.0,103.0,200.0,8169.0,21.08182082740737,0.0576214531864006,0.6921733815400337
ID94905,94905,0,9.60987377166748,27.28269353166608,18.44011701576551,0.0,2.0,2,0.475,1,,146.2295081967213,132.0,96.0,313.0,8920.0,45.55011651745908,0.08147330346998395,0.483698839525617
ID94873,94873,0,6.967691421508789,26.9958064392577,17.930757807904182,0.0,7.0,7,0.475,1,,138.5737704918033,129.0,103.0,249.0,8453.0,30.008031711745353,0.051438500804271384,0.4518329994747651
ID94969,94969,0,6.16252326965332,25.658681805209437,17.17299629287535,0.0,12.0,12,0.475,1,,135.55737704918033,127.0,101.0,251.0,8269.0,28.047890348571038,0.05977669605506722,0.545218386979608
ID94941,94941,0,6.158240795135498,26.690787838777208,17.108037543675778,0.0,8.0,8,0.475,1,,137.80327868852459,129.0,95.0,256.0,8406.0,35.39953844903026,0.06042588409679419,0.4436440283720694
ID94880,94880,1,8.254237174987793,26.769843042060074,16.29624449963271,0.0,4.0,4,0.475,1,,142.62295081967213,129.0,101.0,269.0,8700.0,38.41144097549853,0.08639303134306332,0.5905416798798913
ID94912,94912,1,10.284770965576172,26.64233830575238,16.20218837061999,0.0,5.0,5,0.475,1,,145.29508196721312,128.0,106.0,319.0,8863.0,44.78405380724077,0.10201843988199082,0.6006857416048457
ID94946,94946,1,7.131091594696045,25.116095437006063,15.175411842113268,0.0,11.0,11,0.475,1,,138.19672131147541,127.0,102.0,268.0,8430.0,33.223896857598916,0.07425857275254867,0.5750623505260632
ID94887,94887,1,8.446392059326172,26.74633508665052,16.438721086734258,0.0,1.0,1,0.475,1,,141.7377049180328,130.0,102.0,247.0,8646.0,33.31611303826036,0.07927162272512131,0.6249540043118221
ID94920,94920,1,10.701833724975586,26.786655904173188,16.172454827676063,0.0,6.0,6,0.475,1,,144.85245901639345,127.0,100.0,323.0,8836.0,53.91593334861652,0.09813838864344106,0.4801982678639204
ID94952,94952,1,8.147506713867188,26.137239644538912,15.62420113838175,0.0,9.0,9,0.475,1,,137.4262295081967,128.0,99.0,279.0,8383.0,34.03452120832291,0.0681027006235029,0.5149099718316592
ID94927,94927,1,8.091397285461426,25.573289235112384,15.331849819573128,0.0,10.0,10,0.475,1,,140.0327868852459,128.0,97.0,288.0,8542.0,38.42784026072536,0.08596145011369649,0.5769033693071537
ID94894,94894,1,8.15597915649414,27.012899154540058,16.206410342640567,0.0,0.0,0,0.475,1,,140.47540983606558,131.0,98.0,257.0,8569.0,36.659972066445555,0.07292845455192207,0.5209120706002016
ID94958,94958,1,7.369157791137695,24.74012845278776,15.186865963290893,0.0,13.0,13,0.475,1,,140.75409836065575,129.0,97.0,304.0,8586.0,38.09228081808042,0.06786516853932588,0.46966108651933797
ID94865,94865,1,8.177947998046875,26.77129847114778,16.29337987062826,0.0,3.0,3,0.475,1,,141.29508196721312,129.0,108.0,231.0,8619.0,30.906495683105778,0.07393201058538182,0.6294525615512644
